단원,단어,뜻
13 단원,tube,"튜브,짜내어 쓰게 된 용기"
13 단원,item,"항목,품목"
13 단원,pack,"꾸러미,한 상자"
13 단원,bag,"자루,봉지,가방"
13 단원,ice,얼음
13 단원,bar,"막대기,막대기 모양의 것"
13 단원,piece,조각
13 단원,counter,계산대
13 단원,spray,"스프레이,분무기,뿌리다"
13 단원,bin,(뚜껑 달린) 큰 상자
13 단원,smoked,훈제된
13 단원,fresh,신선한
13 단원,grain,"곡물,곡류"
13 단원,vegetable,야채
13 단원,cart,"손수레,카트"
13 단원,seafood,해산물
13 단원,cashier,계산원
13 단원,freezer,냉동고
13 단원,frozen food,냉동식품
13 단원,grocery,"식료 잡화점,식품점"
13 단원,container,용기
13 단원,aisle,통로
13 단원,dairy,"우유의,유제품의"
13 단원,bundle,"(한 묶음의)다발,뭉치"
13 단원,pile,더미
13 단원,cash register,금전 등록기
14 단원,long,긴
14 단원,short,짧은
14 단원,dirty,"더러운,청소하다,깨끗이 하다"
14 단원,clean,깨끗한
14 단원,high,높은
14 단원,low,낮은
14 단원,new,새로운
14 단원,open,"열린,열다"
14 단원,heavy,무거운
14 단원,full,"가득 찬,배부른"
14 단원,dark,어두운
14 단원,deep,깊은
14 단원,round,"둥근,한 바퀴를 도는"
14 단원,light,"가벼운,(양이)적은,빛"
14 단원,famous,유명한
14 단원,colorful,"다채로운,화려한"
14 단원,empty,텅 빈
14 단원,metal,금속
14 단원,plastic,"플라스틱의,비닐의,성형의"
14 단원,wide,넓은
14 단원,tight,꽉 끼는
14 단원,loose,헐렁한
14 단원,sharp,날카로운
14 단원,shallow,얕은
14 단원,oval,"달걀 모양,타원형,달걀 모양의,타원형의"
14 단원,square,"정사각형,광장,정사각형의,사각의"
14 단원,crack,"(갈라진)틈,틈새"
14 단원,glitter,빛나다
14 단원,firm,"단단한,굳은,회사"
14 단원,wooden,나무로 만든
15 단원,see,"보다,알다,이해하다"
15 단원,watch,지켜보다
15 단원,look,"보다,바라보다"
15 단원,hear,듣다
15 단원,listen,주의해서 듣다
15 단원,smell,"냄새,후각,냄새가 나다,냄새를 맡다"
15 단원,loud,"(소리가)큰,시끄러운"
15 단원,bad,"불쾌한,나쁜,(음식이)상한"
15 단원,taste,"맛,미각,맛보다,맛이 나다"
15 단원,feel,느끼다
15 단원,hard,"굳은,단단한,어려운"
15 단원,noise,소음
15 단원,bitter,"쓴,쓴맛의"
15 단원,sweet,달콤한
15 단원,sour,"신맛의,신"
15 단원,juicy,즙이 많은
15 단원,touch,"촉감,접촉,만지다,건드리다"
15 단원,rough,"거친,가공하지 않은"
15 단원,soft,부드러운
15 단원,sense,"감각,감지하다"
15 단원,objective,객관적인
15 단원,sight,"시각,시력,보기,일견"
15 단원,stare,"빤히 보다,응시하다"
15 단원,whisper,"속삭임,속삭이다"
15 단원,audio,"음의 재생,오디오,음성의,오디오의"
15 단원,flavor,"맛,풍미"
15 단원,smooth,"부드러운,부드럽게 하다"
15 단원,notice,"주의,주목,주의하다,알아차리다"
15 단원,observe,"관찰하다,알아차리다"
15 단원,discover,"발견하다,알아내다"
16 단원,health,건강
16 단원,weak,"몸이 약한,허약한"
16 단원,sick,"(몸이)아픈,병든"
16 단원,cough,"기침,기침하다"
16 단원,fever,"열,발열"
16 단원,sore,"아픈,쑤시는"
16 단원,cut,"베인 상처,상처를 내다,~을 베다"
16 단원,pain,고통
16 단원,medicine,약
16 단원,ache,"통증,아픔,통증이 있다"
16 단원,dizzy,어지러운
16 단원,disease,"병,질병"
16 단원,cancer,암
16 단원,blind,"눈 먼,시각 장애의"
16 단원,deaf,"귀가 먹은,청각 장애가 있는"
16 단원,patient,"환자,끈기 있는,참을성 있는"
16 단원,cure,"치료법,치료하다"
16 단원,relax,"쉬게 하다,편히 쉬다"
16 단원,burn,"화상,화상을 입다(입히다),(햇볕에)타다"
16 단원,symptom,증상
16 단원,wound,"상처,상처를 내다"
16 단원,vomit,토하다
16 단원,sneeze,재채기하다
16 단원,bruise,"멍,타박상"
16 단원,examine,진찰하다
16 단원,recover,회복하다
16 단원,prevent,"예방하다,막다"
16 단원,medical,의학의
16 단원,operate,수술하다
16 단원,emergency,"비상사태,응급"
17 단원,trip,여행
17 단원,airport,공항
17 단원,sightseeing,관광
17 단원,tourist,"여행자,관광객"
17 단원,guide,"안내자,가이드,안내하다"
17 단원,route,"(비행기,기차의)노선,경로"
17 단원,visa,"비자,사증"
17 단원,flight,비행
17 단원,reserve,예약하다
17 단원,cancel,"취소,취소하다"
17 단원,scenery,풍경
17 단원,apply,신청하다
17 단원,passport,여권
17 단원,insurance,보험
17 단원,reach,"도착하다,도달하다"
17 단원,attendant,"안내원,시중드는 사람"
17 단원,board,"탑승하다,승차하다"
17 단원,depart,출발하다
17 단원,arrive,도착하다
17 단원,land,"땅,착륙하다"
17 단원,abroad,해외로
17 단원,itinerary,"여행 일정,여행 일기"
17 단원,baggage,"짐,수하물"
17 단원,claim,"요구,청구,주장,요구하다,주장하다"
